Company,Year,DPR,DivYield,ROE,Log_Assets,Beta
JNJ,2020,0.7123148022291695,0.05992772765217789,0.23252947311861943,25.887445913065203,0.7371310329380764
JNJ,2021,0.5284031037455695,0.06060939028008219,0.28204747173175904,25.927371420231715,0.6341235178284602
JNJ,2022,0.65113427345187,0.0623445655306386,0.233594604447685,25.956393803914786,0.2349937383039855
JNJ,2023,0.3348220635507638,0.07024433330548228,0.511137930031698,25.844595396931094,0.6327296451800987
JNJ,2024,0.8405374662306271,0.06564540487718207,0.19675479087984332,25.916800298765082,0.7886528815647433
JPM,2022,0.35996390274976114,0.003699659250525746,0.12888086148625535,28.930052159233476,1.238257994362912
JPM,2023,0.27169438165967064,0.003473970252823391,0.15112938349020064,28.9856681929461,0.9820195674993017
JPM,2024,0.25282618734073303,0.0036931518676611005,0.16960012530528662,29.01801872970831,1.1492875428047127
KO,2020,0.9096424422357041,0.0807253482404692,0.3639823341477166,25.192570479727355,0.819060280678576
KO,2021,0.7421962951591444,0.07685948661423998,0.3930410297666935,25.270319503198827,1.6869562405671408
KO,2022,0.7981555229511633,0.08210170003126246,0.3694726244869511,25.253313690337286,0.3414515275308098
KO,2023,0.7422064588389023,0.08138951721032107,0.3898835516739447,25.305198101767324,0.5357080915161131
KO,2024,0.7862853917787602,0.08312866098908205,0.40311694221143635,25.333911007814773,0.41289345235418523
MCD,2020,0.7933410844519607,0.07131157509101826,-0.6045444670992018,24.686491332639537,0.8634812049426085
MCD,2021,0.5193500503631447,0.0727629919987819,-1.6399043686155184,24.709548088800034,0.6069460010455255
MCD,2022,0.6747612109438239,0.08264003997176597,-1.0289169470633308,24.643963111882893,0.7649958173200311
MCD,2023,0.5351829988193625,0.08073593844619385,-1.79823074789355,24.751221277837324,0.8655028065033515
MCD,2024,0.5921692607003891,0.08312866098908205,-1.79823074789355,24.733902650095025,0.22187451284648585
MMM,2020,0.6217654615525785,0.07156133828996282,0.4213904570412188,24.580705932604264,0.7445487833035729
MMM,2021,0.5776051342678602,0.07265465669612509,0.39167824303763976,24.57494418136544,1.0790657275672662
MMM,2022,0.5831746581270556,0.07252179528576042,0.3911306702775897,24.561749939039686,1.1420590203720618
MMM,2023,-0.4733380986418871,0.06546065638592329,-1.4369350862777321,24.64682207818823,1.3660724336363979
MMM,2024,0.47495806374311045,0.04971405638607405,0.5533693601794054,24.40883983405162,0.21455632553672346
MRK,2020,0.879439649073157,0.06785823470323624,0.27818453786805225,25.240566095677863,0.49037130055333256
MRK,2021,0.5065522262242318,0.06253902775938086,0.3410879054813498,25.383813963783815,1.3914118220946454
MRK,2022,0.4829533714443143,0.06423598387687798,0.3152329671284033,25.416080532786548,0.3600754542786116
MRK,2023,4.358375878660802,0.06979142254511367,0.009698419024843896,25.393052666020473,0.2630835984648644
